entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
org.lealone.command.ddl.CreateUser#update();;;;;;org.lealone.command.ddl.CreateUser#setPassword(User,Session,Expression);;;;;;MethodDeclaration;EXTRACT;7a2e0ae5f6172cbe34f9bc4a5cde666314ff75dd;7a2e0ae5f;;;;;;;;;1120803;Extract Method package setPassword(user User, session Session, password Expression) : void extracted from public update() : int in class org.lealone.command.ddl.CreateUser
org.lealone.command.ddl.CreateUser#update();;;;;;org.lealone.command.ddl.CreateUser#setSaltAndHash(User,Session,Expression,Expression);;;;;;MethodDeclaration;EXTRACT;7a2e0ae5f6172cbe34f9bc4a5cde666314ff75dd;7a2e0ae5f;;;;;;;;;1120803;Extract Method package setSaltAndHash(user User, session Session, salt Expression, hash Expression) : void extracted from public update() : int in class org.lealone.command.ddl.CreateUser
org.lealone.command.ddl.AlterUser#update();;;;;;org.lealone.command.ddl.CreateUser#setPassword(User,Session,Expression);;;;;;MethodDeclaration;EXTRACT_MOVE;7a2e0ae5f6172cbe34f9bc4a5cde666314ff75dd;7a2e0ae5f;;;;;;;;;1120803;Extract And Move Method package setPassword(user User, session Session, password Expression) : void extracted from public update() : int in class org.lealone.command.ddl.AlterUser & moved to class org.lealone.command.ddl.CreateUser
org.lealone.command.ddl.AlterUser#update();;;;;;org.lealone.command.ddl.CreateUser#setSaltAndHash(User,Session,Expression,Expression);;;;;;MethodDeclaration;EXTRACT_MOVE;7a2e0ae5f6172cbe34f9bc4a5cde666314ff75dd;7a2e0ae5f;;;;;;;;;1120803;Extract And Move Method package setSaltAndHash(user User, session Session, salt Expression, hash Expression) : void extracted from public update() : int in class org.lealone.command.ddl.AlterUser & moved to class org.lealone.command.ddl.CreateUser
